age,income,debt,loan_amount,credit_history_years,num_late_payments,num_credit_lines,employment_years,debt_to_income_ratio,default
45,28162.43,7237.86,119225.05,5.1,0,1,4.6,0.257,1
38,27665.78,2280.09,21057.58,9.1,2,2,11.9,0.0824,0
47,12364.86,710.31,8071.47,5.1,2,4,4.6,0.0574,0
58,29790.53,2246.83,17647.21,10.7,0,5,8.0,0.0754,0
37,56370.29,26285.21,55520.68,7.5,0,5,8.8,0.4663,0
37,16906.62,698.75,57736.8,6.1,0,4,9.8,0.0413,0
58,68124.32,18362.33,8431.5,9.4,3,2,11.2,0.2695,0
49,48662.54,29322.09,16359.22,6.1,3,2,10.0,0.6026,0
34,23375.88,5504.52,4258.13,7.1,2,5,17.6,0.2355,0
46,33358.98,20370.54,25841.45,2.9,1,6,15.8,0.6106,0
34,94749.62,56506.17,46290.12,12.2,3,2,6.0,0.5964,0
34,56394.6,11090.66,13791.94,12.4,1,3,10.9,0.1967,0
42,36507.4,21285.92,7832.94,4.4,3,3,10.0,0.5831,0
18,31488.89,18837.33,17820.5,4.7,1,6,6.3,0.5982,0
19,38023.72,12090.14,18656.82,8.6,1,7,10.5,0.318,0
33,26713.97,4496.93,14255.74,5.7,0,4,6.8,0.1683,0
27,10271.73,4283.48,15413.08,9.2,0,7,11.5,0.417,0
43,123661.93,91153.44,11625.41,16.6,1,3,15.4,0.7371,0
29,39862.65,20397.45,29636.56,4.6,0,3,4.7,0.5117,0
23,46114.76,6379.42,24076.27,12.8,2,4,11.6,0.1383,0
57,35075.4,19158.38,6084.61,4.1,3,5,3.3,0.5462,0
37,23363.49,7984.76,5952.27,4.9,1,2,9.1,0.3418,0
40,32482.13,15371.29,10899.81,8.7,2,5,8.6,0.4732,0
22,13910.0,8168.66,24088.02,11.0,2,4,7.7,0.5873,0
33,142379.58,58654.39,15039.66,16.3,2,2,8.8,0.412,0
41,17314.38,11274.9,7986.27,19.5,0,6,1.4,0.6512,0
26,19551.75,11295.52,16468.67,6.5,2,6,3.6,0.5777,0
44,27885.01,13721.06,10253.27,7.8,3,6,7.7,0.4921,0
32,78656.49,9488.67,27021.53,9.5,2,2,4.5,0.1206,0
36,,24498.67,17438.69,7.6,0,5,8.3,0.6688,0
32,17297.52,12951.08,10381.47,6.5,1,3,10.8,0.7487,0
62,77080.3,8445.85,16078.13,5.5,2,3,12.9,0.1096,0
39,56308.48,21993.69,38255.34,11.0,1,3,7.4,0.3906,0
27,50164.4,10389.6,8470.09,16.4,1,4,11.9,0.2071,0
49,55795.06,33678.94,18437.2,2.7,2,0,8.3,0.6036,1
25,152759.05,88188.37,12627.49,6.8,3,1,8.9,0.5773,0
42,134733.89,15185.6,18799.53,2.7,1,3,2.7,0.1127,0
18,24051.94,16875.37,7913.68,10.7,1,1,6.5,0.7016,0
24,96214.08,13929.73,14592.58,4.9,1,2,3.9,0.1448,0
42,45702.16,29149.17,32411.18,15.1,1,5,10.9,0.6378,0
48,48994.21,17911.51,6313.18,7.1,3,1,5.7,0.3656,0
42,13156.06,3455.02,4612.27,10.7,3,4,2.3,0.2626,0
38,32786.38,4150.47,4754.45,4.5,1,4,23.1,0.1266,0
36,22299.19,2990.13,5236.82,8.4,1,2,3.4,0.1341,0
22,59684.96,31603.93,21509.69,8.4,2,3,2.0,0.5295,0
31,69054.29,30407.66,4338.62,9.8,1,1,1.8,0.4403,0
34,10459.94,1021.6,10526.84,5.3,3,4,6.3,0.0977,0
52,35838.54,3231.14,21908.53,14.4,1,4,4.4,0.0902,0
44,71190.66,4118.27,18644.89,9.5,3,3,5.7,0.0578,0
18,32467.43,19318.57,9813.88,16.0,0,7,9.2,0.595,0
43,56243.07,32030.75,15564.36,2.9,1,5,12.7,0.5695,0
35,44832.98,2095.71,14555.38,,3,1,7.1,0.0467,0
31,44578.02,19980.58,11165.76,6.9,1,7,3.5,0.4482,0
47,30859.84,2090.47,11286.16,19.8,1,4,7.3,0.0677,0
52,17501.67,12653.65,79884.89,11.2,1,5,6.1,0.723,1
51,18528.81,13446.25,25525.9,7.6,0,4,2.5,0.7257,0
29,55581.82,31047.25,97199.49,10.8,1,3,5.9,0.5586,1
36,36741.97,27224.0,8977.08,5.9,4,2,11.2,0.741,0
43,33419.43,21694.64,12481.8,10.0,1,4,8.6,0.6492,0
51,,18665.47,4602.24,26.0,1,3,4.1,0.6628,0
34,30238.97,13781.9,6990.77,5.5,1,3,14.6,0.4558,0
37,68060.14,16664.35,61177.24,8.4,2,4,5.9,0.2448,0
26,29698.55,5174.65,8798.82,4.8,2,0,14.9,0.1742,0
25,16242.09,4251.53,62033.2,4.2,1,3,3.9,0.2618,1
49,56737.52,28527.42,4940.94,12.9,2,2,13.6,0.5028,0
56,32114.86,4435.87,5751.55,3.6,1,5,9.1,0.1381,0
39,37006.08,7657.01,10168.14,9.9,0,1,13.8,0.2069,0
52,95277.31,35676.46,12695.46,12.4,1,5,9.7,0.3744,0
44,35870.25,6687.65,27958.31,6.1,2,5,7.2,0.1864,0
32,43196.3,20341.78,19160.7,15.7,2,4,3.8,0.4709,0
44,17901.61,13221.07,9575.35,14.9,1,2,11.6,0.7385,0
58,31831.08,19049.99,12008.23,6.1,1,3,4.9,0.5985,0
39,52350.44,27910.18,10350.08,3.2,0,3,21.4,0.5331,0
58,14282.29,6658.08,6427.09,10.4,0,3,9.4,0.4662,1
18,40966.38,15991.57,6565.8,7.5,0,3,9.2,0.3904,0
49,38579.44,5758.02,30403.32,8.7,2,4,7.4,0.1493,0
41,37226.36,26645.45,3094.77,10.3,2,2,13.0,0.7158,0
36,67663.04,13453.36,48722.05,2.8,1,4,15.0,0.1988,0
41,44385.28,3242.22,10153.81,5.9,1,3,14.8,0.073,0
18,88154.23,52893.61,7201.13,18.6,1,2,11.6,0.6,0
37,,2810.86,24144.39,8.9,2,5,14.3,0.1405,0
44,39401.33,11722.56,43834.36,10.7,0,2,3.0,0.2975,0
57,38203.41,864.46,32666.52,8.4,4,3,10.4,0.0226,1
33,,2096.5,19959.92,10.5,0,5,5.3,0.1097,0
30,64458.51,8931.56,31872.24,14.7,1,5,10.3,0.1386,0
33,146503.41,6377.02,3383.96,1.9,0,3,4.5,0.0435,0
50,35946.84,18883.79,8800.25,12.0,1,4,9.7,0.5253,0
43,49168.71,32923.67,6445.03,7.6,2,1,8.9,0.6696,0
33,38204.6,11409.89,35586.12,13.1,0,5,17.0,0.2987,0
46,23667.29,16559.08,9830.23,6.2,0,3,5.8,0.6997,0
41,12179.92,2078.84,26273.74,6.1,2,0,6.3,0.1707,0
51,23778.47,6189.83,20510.36,3.5,0,2,8.5,0.2603,0
31,15753.61,1899.72,6701.95,7.7,1,4,3.5,0.1206,0
36,100958.14,50120.4,8353.48,3.3,2,3,4.8,0.4964,0
35,33892.0,11384.18,37611.09,7.3,2,4,11.9,0.3359,0
22,29508.94,14477.87,7184.02,8.7,2,3,13.4,0.4906,0
43,61913.42,37726.32,14763.22,5.0,1,6,11.9,0.6093,0
43,18526.35,8087.91,7143.56,,2,3,11.0,0.4366,0
40,22922.67,11509.57,10392.49,2.1,3,9,5.0,0.5021,0
37,37829.46,28304.01,12875.36,4.1,2,2,5.9,0.7482,0
23,67323.28,16107.19,7141.7,2.0,4,4,2.2,0.2393,0
34,49070.39,14099.45,6195.9,,0,2,20.5,0.2873,0
35,42150.22,24201.08,16798.06,26.4,2,1,4.0,0.5742,0
30,38058.15,18612.13,6796.82,,0,4,14.7,0.489,0
38,46172.59,6594.66,6984.68,29.9,1,12,10.6,0.1428,0
44,40986.24,12333.49,6302.85,8.4,2,4,9.0,0.3009,0
62,19575.16,7326.4,12552.48,9.4,1,4,25.8,0.3743,0
42,37333.55,12525.85,28423.21,,3,4,9.5,0.3355,0
43,19068.38,2719.53,44588.13,8.8,1,4,7.4,0.1426,0
39,38125.92,28195.8,7474.6,5.6,2,2,4.9,0.7395,0
18,27217.39,16598.66,74626.33,18.0,3,4,17.0,0.6099,1
39,166646.32,64172.94,5980.36,2.1,3,5,6.2,0.3851,0
40,35456.55,19290.09,31787.83,5.7,0,6,7.7,0.544,0
69,15637.96,11225.34,7499.88,4.6,2,3,4.4,0.7178,0
37,33506.4,3650.16,6655.92,9.6,0,2,6.2,0.1089,0
43,49593.51,9933.5,7362.8,1.3,1,6,10.1,0.2003,0
39,99113.25,43031.11,12810.77,17.6,3,2,13.3,0.4342,0
25,25497.32,16298.1,21247.14,9.4,1,6,9.7,0.6392,0
53,14052.33,407.57,22831.45,9.0,3,3,9.6,0.029,0
49,59284.44,46669.57,6278.03,3.6,1,7,10.4,0.7872,0
49,15861.35,5772.35,6052.78,12.3,2,4,5.5,0.3639,0
29,27953.75,8033.49,6416.89,11.6,4,3,8.1,0.2874,0
56,31114.45,7286.37,12221.07,15.5,1,2,7.7,0.2342,0
23,34829.5,4858.21,11292.29,6.5,0,4,9.3,0.1395,0
47,54912.63,34773.92,6247.02,2.6,2,1,5.4,0.6333,0
66,24096.44,18417.66,16575.53,5.1,0,8,20.1,0.7643,0
28,30815.17,10197.23,81638.4,,1,2,8.7,0.3309,1
33,36005.89,27434.2,8921.57,5.7,1,2,18.4,0.7619,0
41,39725.91,26180.89,9444.53,22.1,0,5,9.9,0.659,0
33,38510.89,14820.57,20904.7,12.5,4,1,1.3,0.3848,0
21,47174.25,25437.34,8543.68,20.4,3,5,8.5,0.5392,0
40,60252.76,20967.2,22814.96,5.9,1,5,6.2,0.348,0
27,45962.47,20544.25,7518.83,10.2,1,3,3.9,0.447,0
45,47674.47,2213.86,57855.03,4.1,2,1,19.3,0.0464,1
28,14054.05,7828.26,17602.92,12.9,1,4,7.7,0.557,0
58,37426.59,1581.64,8135.41,10.6,3,5,15.7,0.0423,0
30,48421.76,31651.75,8341.9,12.1,3,3,10.4,0.6537,0
36,56238.94,37115.31,8856.97,6.3,2,4,12.7,0.66,0
49,23970.75,4546.34,40062.65,8.6,0,4,36.3,0.1897,0
25,24454.67,6332.05,4841.59,8.3,1,4,6.5,0.2589,0
42,25733.26,9908.55,7829.44,6.3,2,8,2.8,0.385,0
55,50103.61,23915.97,8524.26,8.9,2,4,5.8,0.4773,0
20,67530.1,15524.02,13193.11,9.8,4,4,6.4,0.2299,0
42,28439.21,13479.88,10754.85,10.9,5,9,4.4,0.474,0
43,62616.08,14917.01,4052.21,6.2,0,3,10.6,0.2382,0
49,39108.22,1736.11,9702.53,12.5,0,4,10.6,0.0444,0
25,33705.91,68.15,12337.02,12.0,2,5,3.6,0.002,0
24,31989.71,2588.63,8083.03,11.0,1,4,7.6,0.0809,0
46,56838.37,36024.19,23142.37,13.1,3,3,11.3,0.6338,0
43,44149.93,33957.7,27876.15,7.1,2,2,4.4,0.7691,0
43,142271.89,48596.23,12547.67,3.7,3,7,3.8,0.3416,0
44,21778.21,8932.27,16065.56,12.1,2,3,12.3,0.4101,0
31,49556.12,5821.78,2371.21,5.5,1,2,4.2,0.1175,0
42,26435.93,11653.62,9538.75,2.7,4,6,4.8,0.4408,0
43,21556.4,2494.59,29847.53,5.6,0,6,2.7,0.1157,0
31,36079.49,17641.84,9520.96,8.8,3,6,5.5,0.489,0
62,39435.1,29442.52,7407.07,16.9,1,4,15.6,0.7466,1
45,209170.32,32747.46,82631.9,9.9,0,4,3.2,0.1566,1
25,32516.81,19888.94,57254.51,13.0,1,4,9.3,0.6117,0
47,18432.91,346.57,19420.02,11.9,2,1,13.6,0.0188,0
28,42779.16,12850.77,33227.35,9.6,1,6,14.1,0.3004,0
49,10458.98,926.65,2251.27,6.8,1,5,10.6,0.0886,0
53,34366.1,9690.57,7114.99,4.1,0,7,6.6,0.282,1
30,36666.37,5090.38,9173.13,23.7,3,2,6.9,0.1388,0
51,58498.72,17470.29,11061.39,5.7,0,2,4.5,0.2986,0
44,65132.14,21755.32,9027.63,6.7,2,7,3.4,0.334,0
49,26845.63,6455.65,1737.11,7.4,1,4,17.4,0.2405,0
62,33177.65,17428.14,18193.5,5.6,0,3,11.4,0.5253,0
37,22932.89,16857.55,20638.7,10.7,1,5,6.4,0.7351,0
30,18456.33,5914.82,48123.17,5.7,0,6,3.5,0.3205,0
29,43736.44,6729.92,7110.68,6.6,1,2,5.0,0.1539,0
30,16913.18,3663.03,6659.96,5.4,0,1,16.3,0.2166,0
39,28317.18,19346.32,1565.58,6.5,2,2,6.6,0.6832,0
44,19988.16,9140.82,10563.36,3.6,2,2,9.2,0.4573,0
43,50504.11,18383.94,27471.09,3.1,0,8,5.3,0.364,0
49,107029.32,12812.41,8189.32,18.9,0,4,17.1,0.1197,0
40,16631.39,5983.67,74217.54,13.0,2,4,2.4,0.3598,1
57,11946.44,2661.59,10880.46,17.3,2,6,5.5,0.2228,0
36,33693.76,25422.97,15026.85,18.1,1,4,12.1,0.7545,0
72,36659.16,25927.41,4489.59,4.5,1,5,15.8,0.7073,0
47,41406.6,2779.3,16810.79,16.8,1,4,5.7,0.0671,0
29,27783.78,11483.67,2742.28,14.3,1,6,12.2,0.4133,0
27,32196.61,5796.89,23270.89,6.5,1,4,,0.18,0
45,45274.82,14878.29,23850.07,9.8,0,3,13.8,0.3286,0
37,67796.0,47557.43,39633.62,12.8,0,5,3.3,0.7015,0
48,11237.04,4742.16,5907.78,11.3,0,3,17.7,0.422,0
45,29104.16,7781.64,15190.87,7.5,4,4,12.2,0.2674,0
39,41286.27,6866.35,20974.3,8.9,0,1,14.2,0.1663,0
29,20935.77,13404.33,19031.02,10.5,3,5,12.3,0.6403,0
21,102611.14,51266.0,6685.93,6.4,0,2,21.0,0.4996,0
34,24803.85,9287.86,1971.23,11.2,0,2,9.7,0.3745,0
50,35426.82,6163.82,17633.72,5.1,2,4,9.2,0.174,0
42,50696.56,13556.11,11825.34,17.1,4,2,18.6,0.2674,0
25,25469.3,19557.23,8490.16,14.0,3,3,,0.7679,0
42,11992.73,4989.84,24616.11,12.9,1,1,21.2,0.4161,0
44,28079.84,9001.26,12888.16,10.1,0,4,5.0,0.3206,0
29,67350.41,28094.39,4650.1,9.2,3,5,9.9,0.4171,0
41,29669.15,18489.54,2849.33,14.3,2,4,6.4,0.6232,0
40,21854.0,5946.19,5414.47,3.9,3,4,2.7,0.2721,0
26,63284.98,9047.53,90618.15,4.8,4,4,11.2,0.143,1
44,,13934.72,23818.58,11.3,1,5,7.5,0.4679,0
46,26739.67,14229.87,15535.61,7.9,0,4,22.2,0.5322,0
52,39722.52,22648.76,11552.66,5.7,1,3,13.7,0.5702,0
52,57667.56,40689.66,10960.86,14.9,3,1,9.0,0.7056,0
23,151604.15,45017.23,33987.8,8.7,2,3,8.9,0.2969,0
28,59655.5,3596.27,9022.92,9.8,3,5,8.5,0.0603,0
46,72831.51,55838.38,21195.33,15.1,2,7,10.0,0.7667,0
46,26807.05,9329.11,10109.77,7.4,2,4,3.3,0.348,0
46,19623.42,9784.36,63077.87,22.3,3,0,6.1,0.4986,1
80,37699.38,20095.44,24193.29,4.1,1,5,10.0,0.533,1
46,38727.37,16932.03,36186.65,14.8,1,2,5.3,0.4372,0
53,19013.27,3122.09,8370.53,5.9,3,4,2.1,0.1642,0
51,32689.96,19748.48,31148.11,13.5,0,3,8.3,0.6041,0
47,46147.15,29672.69,10403.92,5.2,3,3,14.7,0.643,0
36,45081.9,19943.35,14589.07,3.1,1,3,6.1,0.4424,0
49,49147.08,19209.08,49416.42,13.6,2,4,8.3,0.3908,1
30,43242.49,3941.58,5800.97,6.5,3,2,25.5,0.0912,0
37,26790.29,1799.27,15718.57,3.1,1,2,11.8,0.0672,0
34,26679.74,7247.6,18966.02,14.0,0,4,11.9,0.2717,0
40,17687.78,4398.54,20251.89,9.2,1,7,,0.2487,0
67,105965.09,80843.43,9314.92,6.5,0,6,10.2,0.7629,0
18,36609.76,22950.59,70898.98,10.1,3,4,10.8,0.6269,1
48,31732.23,16752.7,4741.24,7.4,2,6,21.9,0.5279,0
20,20800.34,8613.81,42920.65,6.9,3,7,7.3,0.4141,0
34,211376.2,28302.01,35314.63,12.7,4,2,2.3,0.1339,1
53,,14929.3,61127.13,9.3,2,0,7.4,0.7828,1
40,28076.59,8423.89,3749.65,5.0,1,4,4.9,0.3,0
27,46606.82,3986.77,6667.06,8.0,0,5,2.8,0.0855,0
31,52058.73,20565.23,44070.88,12.6,1,3,5.5,0.395,0
48,64521.85,45113.57,2976.1,4.0,2,6,13.6,0.6992,0
31,107426.82,76255.08,3695.36,15.6,1,5,7.9,0.7098,1
42,49202.25,431.64,9039.45,9.1,1,4,17.1,0.0088,0
40,19271.48,13664.18,15577.69,8.7,1,3,2.8,0.709,0
32,31127.06,6760.4,47752.18,8.9,1,2,5.5,0.2172,0
65,43682.35,1361.92,11519.39,19.4,0,4,1.4,0.0312,0
